stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,on_demand
stop_1_1,920-1t,"Grodzki Urząd Pracy","01",50.0873,20.0596,1,,0,,,,,0
stop_1_2,920-2t,"Grodzki Urząd Pracy","02",50.0874,20.0597,1,,0,,,,,0
stop_2_4,561-1t,"Kościuszkowców","01",50.016651,19.929831,1,,0,,,,,0
stop_2_5,561-2t,"Kościuszkowców","02",50.015661,19.929342,1,,0,,,,,0
stop_3_6,743-1t,"Solvay","01",50.014561,19.927837,1,,0,,,,,0
stop_3_7,743-2t,"Solvay","02",50.014602,19.927844,1,,0,,,,,0
stop_4_8,828-1t,"Stefana Batorego","01",50.066586,19.929432,1,,0,,,,,0
stop_4_9,828-2t,"Stefana Batorego","02",50.067023,19.928837,1,,0,,,,,0
stop_5_10,811-1t,"Nullo","01",50.060001,19.966793,1,,0,,,,,0
stop_5_11,811-2t,"Nullo","02",50.060173,19.967382,1,,0,,,,,0
stop_6_12,116-1t,"Gałczyńskiego","01",50.0692,20.012191,1,,0,,,,,0
stop_6_13,116-2t,"Gałczyńskiego","02",50.069417,20.012742,1,,0,,,,,0
stop_8_15,100-2t,"AKF / PK","02",50.073967,19.99881,1,,0,,,,,0
stop_8_16,100-1t,"AKF / PK","01",50.074015,19.998685,1,,0,,,,,0
stop_9_17,192-1t,"Zalew Nowohucki",01,50.076158,20.052488,1,,0,,,,,0
stop_9_18,192-2t,"Zalew Nowohucki",02,50.076232,20.052439,1,,0,,,,,0
stop_10_3,139-4t,"Mistrzejowice",04,50.09486,19.995525,1,,0,,,,,0
stop_10_19,292-1t,"Kampus UP","01",50.020377,19.897505,1,,0,,,,,0
stop_10_20,292-2t,"Kampus UP","02",50.020825,19.898122,1,,0,,,,,0
stop_11_22,292-1t,"Kampus UP JP II","01",50.020377,19.897505,1,,0,,,,,0
stop_11_23,292-2t,"Kampus UP JP II","02",50.020825,19.898122,1,,0,,,,,0
stop_12_19,105-1t,"Plac Centralny im. R. Reagana",01,50.071704,20.035631,1,,0,,,,,0
stop_12_20,105-2t,"Plac Centralny im. R. Reagana",02,50.072961,20.036331,1,,0,,,,,0
stop_12_21,105-3t,"Plac Centralny im. R. Reagana",03,50.072556,20.038845,1,,0,,,,,0
stop_12_24,105-4t,"Plac Centralny im. R. Reagana",04,50.071283,20.038494,1,,0,,,,,0
stop_13_25,118-1t,"Rondo Kocmyrzowskie im. ks. Gorzelanego",01,50.080257,20.026561,1,,0,,,,,0
stop_13_26,118-2t,"Rondo Kocmyrzowskie im. ks. Gorzelanego",02,50.07905,20.026486,1,,0,,,,,0
stop_13_27,118-3t,"Rondo Kocmyrzowskie im. ks. Gorzelanego",03,50.080062,20.028408,1,,0,,,,,0
stop_13_28,118-4t,"Rondo Kocmyrzowskie im. ks. Gorzelanego",04,50.079056,20.02806,1,,0,,,,,0
stop_183_6119,383-1t,"Bratysławska","01",50.08373,19.93416,1,,0,,,,,0
stop_183_6129,383-2t,"Bratysławska","02",50.084645,19.933583,1,,0,,,,,0
stop_186_7019,381-1t,"Dworzec Towarowy","01",50.075988,19.940292,1,,0,,,,,0
stop_186_7029,381-2t,"Dworzec Towarowy","02",50.07592,19.94038,1,,0,,,,,0
stop_186_7039,381-3t,"Dworzec Towarowy","03",50.074994,19.93968,1,,0,,,,,0
stop_187_7119,835-1t,"Nowy Kleparz","01",50.07349,19.93663,1,,0,,,,,0
stop_187_7129,835-2t,"Nowy Kleparz","02",50.073508,19.936452,1,,0,,,,,0
